PRINT LIST,Rev. Statues,"T 
PURPOSE",UNIT,Doc.Type,"WORK 
CAT.",SUBJ,Document No.,Document Title,Rev.,"Doc.
Purpose",TN No.,TN Date,Statues,Remarks,New Rev On TPLANET,Site Manager,PREV,QA-QC,Material Control,Survey,Admin,Scaffold,Piping E. (13),Piping F. (13),"Underg.
 (14)","South
CON.
Manager",Civil N&S (17),PRE CAST UG ,"Elec. & Instro.
 (15 & 16)","SST
 (18)","Insulation
 (22)","Painting
(23)",Tanks ,"Flare
Manager","Mec. Erction
 (68)"
,L,CONS,0,STC,4,90,079254C-0000-STC-0490-000,STANDARD CONSTRUCTION DRAWINGS FOR PRESSURE EQUIPMENT,0,IFE,T-TP-PTJ-00071,7/23/2021,FINAL,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,13,90,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION,0,IFC,T-TP-PTJ-00215,12/28/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,13,90,079254C-0000-STC-1390-000,STANDARD AUXILIARY PIPING SUPPORTS COLLECTION,1,IFC,T-TP-PTJ-00359,4/13/2022,Final,"079254C-1B04-TSI-PTJ-13-00009
079254C-1M50-TSI-PTJ-13-00008 AT T-TPS-PTJ-02053",,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,13,90,079254C-0000-STC-1390-001,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS,2,IFE,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,13,90,079254C-0000-STC-1390-001,DESIGN SPECIFICATION FOR PIPING DESIGN - III STANDARD CONSTRUCTION DRAWINGS,3,IFE,T-TP-PTJ-00100,9/9/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,13,90,079254C-0000-STC-1390-002,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS",2,IFE,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,13,90,079254C-0000-STC-1390-002,"DESIGN SPECIFICATION RULES FOR THE DESIGN OF JACKETED PIPING
- II STANDARD DESIGN DRAWINGS",3,IFE,T-TP-PTJ-00697,12/23/2022,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,14,90,079254C-0000-STC-1490-001,"CIVIL AND STRUCTURAL
UNDERGROUND SYSTEMS, SITE
FINISHING & MISCELLANEOUS
CONSTRUCTION STANDARDS",1,IFC,T-TP-PTJ-00020,6/8/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
36,L,CONS,0,STC,14,90,079254C-0000-STC-1490-001,"CIVIL AND STRUCTURAL
UNDERGROUND SYSTEMS, SITE
FINISHING & MISCELLANEOUS
CONSTRUCTION STANDARDS",2,IFC,T-TP-PTJ-00675,11/14/2022,Final,"Markup sheets 37,38 (2F) at PTJ-TQ-00-00001 &  Markup sheets 5,9,63 (2F1) at 079254C-1B03-TSI-PTJ-14-00005_0
Red marked up sh.22",,,,,,,,,,,√,,,,,,,,,,
,P,CONS,0,STC,16,91,079254C-0000-STC-1691-001,EARTHING AND LIGHTING SYSTEM TYPICAL INSTALLATIONS STANDARDS,0,IFC,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,16,91,079254C-0000-STC-1691-001,EARTHING AND LIGHTING SYSTEM TYPICAL INSTALLATIONS STANDARDS,1,IFC,T-TP-PTJ-00765,9/20/2023,Final,079254C-0000-TSI-PTJ-16-00001_0 (SH13),,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,16,92,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS,0,IFC,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,16,92,079254C-0000-STC-1692-001,POWER SYSTEM TYPICAL INSTALLATION STANDARDS,1,IFC,T-TP-PTJ-00765,9/20/2023,Final,Markup sheet 11 (0F) at PTJ-TQ-00-00001,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,16,93,079254C-0000-STC-1693-001,LIGHTING SYSTEM TYPICAL INSTALLATION STANDARDS,0,IFC,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,16,93,079254C-0000-STC-1693-001,LIGHTING SYSTEM TYPICAL INSTALLATION STANDARDS,1,IFC,T-TP-PTJ-00765,9/20/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,16,96,079254C-0000-STC-1696-001,"CABLE TRAYS SYSTEM - TYPICAL
INSTALLATION STANDARDS",0,IFC,T-TP-PTJ-00030,6/21/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,17,90,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)",1,IFC,T-TP-PTJ-00025,6/15/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,17,90,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)",2,IFC,T-TP-PTJ-00540,6/23/2022,Rev-up,079254C-0000-TSI-PTJ-17-00001_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,17,90,079254C-0000-STC-1790-000,"CIVIL AND STRUCTURAL REINFORCED CONCRETE WORKS
CONSTRUCTION STANDARDS (EX. DOC. 079254C-0000-STD-1780-00)",3,IFC,T-TP-PTJ-00761,6/9/2023,Final,079254C-1G00-TSI-PTJ-17-00003_0,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STC,18,90,079254C-0000-STC-1890-000,"CIVIL AND STRUCTURAL STEEL STRUCTURE - CONSTRUCTION STANDARDS 
(EX. DOC. 079254C-0000-STD-1880-00)",1,IFC,T-TP-PTJ-00030,6/21/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,18,90,079254C-0000-STC-1890-000,"CIVIL AND STRUCTURAL STEEL STRUCTURE - CONSTRUCTION
STANDARDS (EX. DOC. 079254C-0000-STD-1880-00)",2,IFC,T-TP-PTJ-00080,8/5/2021,Final,079254C-0000-TSI-PTJ-18-00001_0 (1890-007 sh1of2),,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STC,18,90,079254C-0000-STC-1890-080,STANDARD CONSTRUCTION DRAWINGS FOR PRESSURE EQUIPMENT LADDERS AND PLATFORMS,1,IFE,T-TP-PTJ-00071,7/23/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,CN,0,0,079254C-0000-CN-0000-001,DENSITY DIRECT WORKFORCE CALCULATION,0,IFI,T-TP-PTJ-00769,7/3/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,CN,82,0,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY",A,IFC,T-TP-PTJ-00036,6/24/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,CN,82,0,079254C-0000-CN-8200,"VEHICLES AND MANPOWER ACCESS
STUDY",0,IFC,T-TP-PTJ-00077,7/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STD,13,80,079254C-0000-STD-1380-001,"DESIGN SPECIFICATION FOR PIPING DESIGN- II -
STANDARD DESIGN DRAWINGS",2,IFE,T-TP-PTJ-00062,7/19/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STD,13,80,079254C-0000-STD-1380-001,"DESIGN SPECIFICATION FOR PIPING DESIGN- II -
STANDARD DESIGN DRAWINGS",3,IFE,T-TP-PTJ-00133,10/22/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,STD,13,80,079254C-0000-STD-1380-002,"DESIGN SPECIFICATION FOR STEAM TRACING SPECIFICATION AND STANDARDS-
II - STANDARD DESIGN DRAWINGS",0,IFE,T-TP-PTJ-00071,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,STD,13,80,079254C-0000-STD-1380-002,DESIGN SPECIFICATION FOR STEAM TRACING SPECIFICATION AND STANDARDS-II - STANDARD DESIGN DRAWINGS,2,IFE,T-TP-PTJ-00697,12/23/2022,Final,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,MS,13,59,079254C-0000-MS-1359-071,"JOB CONSTRUCTION SPECIFICATION FOR BOLTED FLANGE JOINT
ASSEMBLY MANAG. DURING CONSTRUCTION, PRECOMMISSIONING
AND COMMISS",0,IFE,T-TP-PTJ-00002,5/18/2021,Final,,,,,,,,,,,,,,,,,,,,,,
17,L,TEND,0,DW,0,51,079254C-0000-DW-0051-01-01,OVERALL PLOT PLAN,D,IFEW,Exhinit D,,Final,,,,,,,,,√,,,,,,,,,,,,,√
,L,TEND,0,DW,0,53,079254C-0000-DW-0053-01-01,OVERALL KEY PLAN,D,IFEW,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,L,TEND,0,DW,0,54,079254C-0000-DW-0054-01-01,PIPING INTERFACE PLOT PLAN,B,IFEW,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,DW,13,60,079254C-0000-DW-1360-000,"PIPING SPECIAL SUPPORTSCOLLECTION FOR STEAM AND
CONDENSATE MANIFOLD",0,IFC,T-TP-PTJ-00784,9/9/2023,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-000,"PIPING SPECIAL SUPPORTSCOLLECTION FOR STEAM AND
CONDENSATE MANIFOLD",0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-001-01,SPECIAL PIPING SUPPORT S-0000-001,0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-001-02,SPECIAL PIPING SUPPORT S-0000-001,0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-001-03,SPECIAL PIPING SUPPORT S-0000-001,0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-001-01,SPECIAL PIPING SUPPORT S-0000-002,0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-001-02,SPECIAL PIPING SUPPORT S-0000-002,0F1,IFC,T-TPS-PTJ-02213,2/17/2025,FINAL,079254C-0000-TSI-PTJ-13-00041_0,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,13,60,079254C-0000-DW-1360-003,CORRECTIVE ACTIONS TO AVOID CLASH BETWEEN ROD OF THE DIAGONAL PS-1 SPRING SUPPORTS AND THE SUPPORTING BEAMS CONDENSATE MANIFOLD,F1,IFC,T-TPS-PTJ-01755,9/18/2024,FINAL,079254C-0000-TSI-PTJ-13-00042,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,14,2,079254C-0000-DW-1402-001-01,GENERAL NOTES FOR UNDERGROUND WORKS,C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",P,CONS,0,DW,14,2,079254C-0000-DW-1402-001-01,GENERAL NOTES FOR UNDERGROUND WORKS,1,IFC,T-TP-PTJ-00022,6/10/2021,Rev-up,,,,,√,,√,,,,,√,,,√,,,,,,,
"54,53,56,60",L,CONS,0,DW,14,2,079254C-0000-DW-1402-001-01,GENERAL NOTES FOR UNDERGROUND WORKS,2,IFC,T-TP-PTJ-00709,1/26/2023,Final,REV UP 26-1-2023,,,,v,,v,,,,,√,,,√,,,,,,,
,L,TEND,0,DW,14,22,079254C-0000-DW-1422-001-01,SOIL INVESTIGATION PLAN,0,IFE,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,14,22,079254C-0000-DW-1422-004-01,"GENERAL IN-PLOT - SOIL
INVESTIGATION PLAN",D,IDD,T-TP-PTJ-00073,7/26/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,22,079254C-0000-DW-1422-004-01,"GENERAL IN-PLOT - SOIL
INVESTIGATION PLAN",3,IFC,T-TP-PTJ-00135,10/22/2021,Final,,,,,√,,√,,,,,√,,,√,,,,,,,
,L,TEND,0,DW,14,24,079254C-0000-DW-1424-001-01,GENERAL FENCING & GATE CONCEPTUAL LAYOUT,C,IFE,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,14,25,079254C-0000-DW-1425-001-01,"ROADS, PAVING & FINISHING
CONCEPTUAL LAYOUT",B,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,25,079254C-0000-DW-1425-001-01,"ROADS, PAVING & FINISHING
CONCEPTUAL LAYOUT",D,IFE,T-TP-PTJ-00073,7/26/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,TEND,0,DW,14,42,079254C-0000-DW-1442-001-01,MAJOR UNDERGROUND CONCEPTUAL LAYOUT,B,IFEW,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,14,42,079254C-0000-DW-1442-002-01,"INTERFACE BATTERY LIMITS
CONCEPTUAL LAYOUT",B,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,14,42,079254C-0000-DW-1442-002-01,"INTERFACE BATTERY LIMITS
CONCEPTUAL LAYOUT",C,IDD,T-TP-PTJ-00070,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,42,079254C-0000-DW-1442-002-01,"INTERFACE BATTERY LIMITS
CONCEPTUAL LAYOUT",D,IDD,T-TP-PTJ-00079,8/5/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,14,52,079254C-0000-DW-1452-001-01,GRADING UNDERGROUND AND FOUNDATION PLAN UNIT 0000 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"4,4-01, 12,15,22",L,CONS,0,DW,14,52,079254C-0000-DW-1452-001-01,GRADING UNDERGROUND AND FOUNDATION PLAN UNIT 0000 - CONCEPTUAL LAYOUT,0,IFC,T-TP-PTJ-00609,8/11/2022,Final,,,,,√,,√,,,,,√,,,√√,,,,,,,
,L,INFO,0,DW,14,53,079254C-0000-DW-1453-001-01,SCHEDULE PITS - UNIT 0000 CONCEPTUAL DOCUMENT,A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,54,079254C-0000-DW-1454-001-01,ELECT. CABLES TRENCH - PLAN AND DETAILS UNIT 0000 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,54,079254C-0000-DW-1454-001-02,"ELECT. CABLES TRENCH - PLAN AND DETAILS UNIT 0000 - AREA 0000U03 - UG AREA - 0000U03-01
- CONCEPTUAL LAYOUT",A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,54,079254C-0000-DW-1454-001-03,ELECT. CABLES TRENCH - COVER PLAN AND DETAILS UNIT 0000 - AREA 0000U03 - UG AREA - 0000U03-01 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,54,079254C-0000-DW-1454-002-01,INSTR. CABLES TRENCH - PLAN AND DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,14,54,079254C-0000-DW-1454-002-02,INSTR. CABLES TRENCH - PLAN AND DETAILS - UNIT 0000 AREA 0000U02 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,14,54,079254C-0000-DW-1454-003-01,HDPE LAYER PROTECTION - PLAN AND DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-003-01,HDPE LAYER PROTECTION - PLAN AND DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT,0,IFC,T-TP-PTJ-00640,9/8/2022,Final,,,,,√,,√,,,,,√,,,√,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-003-02,"HDPE LAYER PROTECTION - PLAN AND
 DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT",0,IFC,T-TP-PTJ-00640,9/8/2022,Final,,,,,√,,√,,,,,√,,,√,,,,,,,
,P,INFO,0,DW,14,54,079254C-0000-DW-1454-004-01,CHANNELS CLOSED DRAIN - PLAN AND DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT,A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-004-01,CHANNELS CLOSED DRAIN - PLAN AND DETAILS - UNIT 0000 - CONCEPTUAL LAYOUT,0,IFC,T-TP-PTJ-00598,8/5/2022,Final,079254C-0000-TSI-PTJ-14-00005_0,,,,√,,√,,,,,√,,,√,,,,,,,
,P,INFO,0,DW,14,54,079254C-0000-DW-1454-004-02,CHANNELS CLOSED DRAIN - PLAN AND DETAILS UNIT 0000 - AREA,A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-004-02,CHANNELS CLOSED DRAIN - PLAN AND DETAILS UNIT 0000 - AREA,0,IFC,T-TP-PTJ-00598,8/5/2022,Final,079254C-0000-TSI-PTJ-14-00005_0,,,,√,,√,,,,,√,,,√,,,,,,,
,P,INFO,0,DW,14,54,079254C-0000-DW-1454-004-03,"CHANNELS CLOSED DRAIN - COVER PLAN AND DETAILS - UNIT 0000 -
AREA 0000U01 - UG AREA -0000U01-01 - CONCEPTUAL LAYOUT",A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-004-03,"CHANNELS CLOSED DRAIN - COVER PLAN AND DETAILS - UNIT 0000 -
AREA 0000U01 - UG AREA -0000U01-01 - CONCEPTUAL LAYOUT",0,IFC,T-TP-PTJ-00598,8/5/2022,Final,079254C-0000-TSI-PTJ-14-00005_0,,,,√,,√,,,,,√,,,√,,,,,,,
,P,INFO,0,DW,14,54,079254C-0000-DW-1454-004-04,"CHANNELS CLOSED DRAIN - SUPPORT PLAN AND DETAILS -
UNIT 0000 - AREA 0000U01 -UG AREA - 0000U01-01 -
CONCEPTUAL LAYOUT",A,IFR,T-TP-PTJ-00040,6/30/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
"12,13,15,22",L,CONS,0,DW,14,54,079254C-0000-DW-1454-004-04,"CHANNELS CLOSED DRAIN -SUPPORT PLAN AND DETAILS -
UNIT 0000 - AREA 0000U01 -UG AREA - 0000U01-01 -
CONCEPTUAL LAYOUT",0,IFC,T-TP-PTJ-00598,8/5/2022,Final,079254C-0000-TSI-PTJ-14-00005_0,,,,√,,√,,,,,√,,,√,,,,,,,
,P,TEND,0,DW,15,12,079254C-0000-DW-1512-001-01,CONTROL AND SAFETY SYSTEM CONNECTION DRAWING,C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,15,12,079254C-0000-DW-1512-001-01,CONTROL AND SAFETY SYSTEM CONNECTION DRAWING,F,IDD,T-TP-PTJ-00011,5/27/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,12,079254C-0000-DW-1512-002-01,PROCESS CONTROL SYSTEM (PCS) ARCHITECTURE DRAWING (CONTROL AND SAFETY SYSTEM),C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,15,12,079254C-0000-DW-1512-002-01,PROCESS CONTROL SYSTEM (PCS) ARCHITECTURE DRAWING (CONTROL AND SAFETY SYSTEM),F,IDD,T-TP-PTJ-00070,7/23/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,12,079254C-0000-DW-1512-002-02,PROCESS CONTROL SYSTEM (PCS) ARCHITECTURE DRAWING (FIRE AND GAS SYSTEM),C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,INFO,0,DW,15,12,079254C-0000-DW-1512-002-02,PROCESS CONTROL SYSTEM (PCS) ARCHITECTURE DRAWING (FIRE AND GAS SYSTEM),F,IDD,T-TP-PTJ-00070,7/23/2021,Final,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,15,23,079254C-0000-DW-1523-003,"AUXILIARY CONSOLE - GENERAL
ARRANGEMENT DRAWINGS",A,IFR,T-TP-PTJ-00422,5/6/2022,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,DW,15,23,079254C-0000-DW-1523-003,"AUXILIARY CONSOLE - GENERAL
ARRANGEMENT DRAWINGS",0,IFC,T-TP-PTJ-00525,6/16/2022,Rev-up,,,,,,,,,,,,,,,,√,,,,,,
29 SOFT COPY,L,CONS,0,DW,15,23,079254C-0000-DW-1523-003,"AUXILIARY CONSOLE - GENERAL
ARRANGEMENT DRAWINGS",1,IFC,T-TP-PTJ-00647,9/21/2022,Final,,,,,,,,,,,,,,,,√,,,,,,
,P,TEND,0,DW,15,32,079254C-0000-DW-1532-001-01,"OVERALL TELECOM SYSTEM BLOCK
DIAGRAM",C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,P,INFO,0,DW,15,32,079254C-0000-DW-1532-001-01,"OVERALL TELECOM SYSTEM BLOCK
DIAGRAM",D,IDD,T-TP-PTJ-00070,7/23/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
29 SOFT COPY,P,CONS,0,DW,15,32,079254C-0000-DW-1532-001-01,"OVERALL TELECOM SYSTEM BLOCK
DIAGRAM",0,IFC,T-TP-PTJ-00126,9/28/2021,Rev-up,,,,,,,,,,,,,,,,√,,,,,,
,L,CONS,0,DW,15,32,079254C-0000-DW-1532-001-01,"OVERALL TELECOM SYSTEM BLOCK
DIAGRAM",1,IFC,T-TP-PTJ-00724,2/3/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,32,079254C-0000-DW-1532-002-01,"ACCESS CONTROL SYSTEM (ACS)
ARCHITECTURE CONNECTION
DIAGRAM",C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
29 SOFT COPY,P,CONS,0,DW,15,32,079254C-0000-DW-1532-002-01,"ACCESS CONTROL SYSTEM (ACS)
ARCHITECTURE CONNECTION
DIAGRAM",0,IFC,T-TP-PTJ-00125,9/28/2021,Rev-up,,,,,,,,,,,,,,,,√,,,,,,
,P,CONS,0,DW,15,32,079254C-0000-DW-1532-002-01,"ACCESS CONTROL SYSTEM (ACS)
ARCHITECTURE CONNECTION
DIAGRAM",1,IFC,T-TP-PTJ-00731,3/16/2023,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,15,32,079254C-0000-DW-1532-002-01,"ACCESS CONTROL SYSTEM (ACS)
ARCHITECTURE CONNECTION
DIAGRAM",2,IFC,T-TP-PTJ-00794,10/20/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,L,TEND,0,DW,15,32,079254C-0000-DW-1532-003-01,PLANT RADIO SYSTEM ARCHITECTURE CONNECTION DIAGRAM,B,IFEW,Exhinit D,,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,32,079254C-0000-DW-1532-004-01,BUSINESS DATA LAN (& VIDEOCONFERENCE) SYSTEM ARCHITECTURE CONNECTION DIAGRAM,C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
29 SOFT COPY,P,CONS,0,DW,15,32,079254C-0000-DW-1532-004-01,BUSINESS DATA LAN (& VIDEOCONFERENCE) SYSTEM ARCHITECTURE CONNECTION DIAGRAM,0,IFC,T-TP-PTJ-00125,9/28/2021,Rev-up,,,,,,,,,,,,,,,,√,,,,,,
,L,CONS,0,DW,15,32,079254C-0000-DW-1532-004-01,BUSINESS DATA LAN (& VIDEOCONFERENCE) SYSTEM ARCHITECTURE CONNECTION DIAGRAM,1,IFC,T-TP-PTJ-00792,10/12/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,32,079254C-0000-DW-1532-005-01,TELEPHONE SYSTEM ARCHITECTURE CONNECTION DIAGRAM,C,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
29 SOFT COPY,P,CONS,0,DW,15,32,079254C-0000-DW-1532-005-01,TELEPHONE SYSTEM ARCHITECTURE CONNECTION DIAGRAM,0,IFC,T-TP-PTJ-00154,11/3/2021,Rev-up,,,,,,,,,,,,,,,,√,,,,,,
,L,CONS,0,DW,15,32,079254C-0000-DW-1532-005-01,TELEPHONE SYSTEM ARCHITECTURE CONNECTION DIAGRAM,1,IFC,T-TP-PTJ-00792,10/12/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,P,TEND,0,DW,15,32,079254C-0000-DW-1532-006-01,PA/GA & INTERCOM SYSTEM ARCHITECTURE - CONNECTION DIAGRAM,B,IFEW,Exhinit D,,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,DW,15,32,079254C-0000-DW-1532-006-01,PA/GA & INTERCOM SYSTEM ARCHITECTURE - CONNECTION DIAGRAM,0,IDD2,T-TP-PTJ-00140,10/26/2021,Rev-up,,,,,,,,,,,,,,,,,,,,,,
,L,CONS,0,DW,15,32,079254C-0000-DW-1532-006-01,PA/GA & INTERCOM SYSTEM ARCHITECTURE - CONNECTION DIAGRAM,1,IFC,T-TP-PTJ-00792,10/12/2023,Final,,,,,,,,,,,,,,,,,,,,,,
,P,CONS,0,DW,15,32,079254C-0000-DW-1532-007-01,ACCESS CONTROL SYSTEM (ACS) - INTERCONNECTING DIAGRAM,A,IFR,T-TP-PTJ-00795,10/20/2023,Rev-up,,,,,,,,,,,,,,,,,,,,,,
